Model,TDP,TDP (Base),Cores (P),Cores (E),Cores (LP-E),Cores,Codename,Released,Clock rate
Intel Xeon E-2278GE,80.0,,,,,,,2020-06-01,
Intel Xeon E-2278GEL,35.0,,,,,,,2019-11-01,
Intel Xeon E-2286G,95.0,,,,,,,2019-10-01,
Intel Xeon E-2286M,45.0,,,,,,,2019-07-01,
Intel Xeon E-2288G,95.0,,,,,,,2019-09-01,
Intel Xeon E-2314,65.0,,,,,,,2022-01-01,
Intel Xeon E-2324G,65.0,,,,,,,,
Intel Xeon E-2334,65.0,,,,,,,2022-03-01,
Intel Xeon E-2336,65.0,,,,,,,2022-01-01,
Intel Xeon E-2356G,80.0,,,,,,,2022-01-01,
Intel Xeon E-2374G,80.0,,,,,,,2022-01-01,
Intel Xeon E-2378,65.0,,,,,,,2022-01-01,
Intel Xeon E-2378G,80.0,,,,,,,2022-07-01,
Intel Xeon E-2386G,95.0,,,,,,,2022-06-01,
Intel Xeon E-2388G,95.0,,,,,,,2021-10-01,
Intel Xeon E-2414,55.0,,,,,,,2023-12-14,
Intel Xeon E-2434,55.0,,,,,,,2023-12-14,
Intel Xeon E-2436,65.0,,,,,,,2023-12-14,
Intel Xeon E-2456,80.0,,,,,,,2023-12-14,
Intel Xeon E-2468,65.0,,,,,,,2023-12-14,
Intel Xeon E-2478,80.0,,,,,,,2023-12-14,
Intel Xeon E-2486,95.0,,,,,,,2023-12-14,
Intel Xeon E-2488,95.0,,,,,,,2023-12-14,
Intel Xeon E3-1105C,25.0,,,,,,,,
Intel Xeon E3-1105C v2,25.0,,,,,,,,
Intel Xeon E3-1125C,40.0,,,,,,,,
Intel Xeon E3-1125C v2,40.0,,,,,,,,
Intel Xeon E3-1135C v2,55.0,,,,,,,,
Intel Xeon E3-1205 v6,65.0,,,,,,,2020-01-01,
Intel Xeon E3-1220,80.0,,,,,,,2011-08-01,
Intel Xeon E3-1220 V2,69.0,,,,,,,2012-07-01,
Intel Xeon E3-1220 v2,69.0,,,,,,,,
Intel Xeon E3-1220 v3,80.0,,,,,,,2011-01-01,
Intel Xeon E3-1220 v5,80.0,,,,,,,2016-01-01,
Intel Xeon E3-1220 v6,72.0,,,,,,,2017-11-01,
Intel Xeon E3-1220L,20.0,,,,,,,2011-05-01,
Intel Xeon E3-1220L V2,17.0,,,,,,,2014-03-01,
Intel Xeon E3-1220L v2,17.0,,,,,,,,
Intel Xeon E3-1220L v3,13.0,,,,,,,2014-05-01,
Intel Xeon E3-1225,95.0,,,,,,,2011-01-01,
Intel Xeon E3-1225 V2,77.0,,,,,,,2012-09-01,
Intel Xeon E3-1225 v2,77.0,,,,,,,,
Intel Xeon E3-1225 v3,84.0,,,,,,,2013-06-01,
Intel Xeon E3-1225 v5,80.0,,,,,,,2016-02-01,
Intel Xeon E3-1225 v6,73.0,,,,,,,2017-05-01,
Intel Xeon E3-1226 v3,84.0,,,,,,,2014-07-01,
Intel Xeon E3-1230,80.0,,,,,,,2011-04-01,
Intel Xeon E3-1230 V2,69.0,,,,,,,2012-05-01,
Intel Xeon E3-1230 v2,69.0,,,,,,,,
Intel Xeon E3-1230 v3,80.0,,,,,,,2013-06-01,
Intel Xeon E3-1230 v5,80.0,,,,,,,2016-01-01,
Intel Xeon E3-1230 v6,72.0,,,,,,,2017-06-01,
Intel Xeon E3-1230L v3,25.0,,,,,,,2013-12-01,
Intel Xeon E3-1231 v3,80.0,,,,,,,2014-05-01,
Intel Xeon E3-1235,95.0,,,,,,,2011-06-01,
Intel Xeon E3-1235L v5,25.0,,,,,,,2017-03-01,
Intel Xeon E3-1240,80.0,,,,,,,2011-05-01,
Intel Xeon E3-1240 V2,69.0,,,,,,,2012-07-01,
Intel Xeon E3-1240 v2,69.0,,,,,,,,
Intel Xeon E3-1240 v3,80.0,,,,,,,2013-06-01,
Intel Xeon E3-1240 v5,80.0,,,,,,,2015-11-01,
Intel Xeon E3-1240 v6,72.0,,,,,,,2017-07-01,
Intel Xeon E3-1240L v3,25.0,,,,,,,2015-02-01,
Intel Xeon E3-1240L v5,25.0,,,,,,,2017-09-01,
Intel Xeon E3-1241 v3,80.0,,,,,,,2014-09-01,
Intel Xeon E3-1245,95.0,,,,,,,2011-05-01,
Intel Xeon E3-1245 V2,77.0,,,,,,,2012-05-01,
Intel Xeon E3-1245 v2,77.0,,,,,,,,
Intel Xeon E3-1245 v3,84.0,,,,,,,2013-06-01,
Intel Xeon E3-1245 v5,80.0,,,,,,,2015-12-01,
Intel Xeon E3-1245 v6,73.0,,,,,,,2017-06-01,
Intel Xeon E3-1246 v3,84.0,,,,,,,2014-06-01,
Intel Xeon E3-1258L v4,47.0,,,,,,,,
Intel Xeon E3-1260L,45.0,,,,,,,2011-07-01,
Intel Xeon E3-1260L v5,45.0,,,,,,,2016-06-01,
Intel Xeon E3-1265L,45.0,,,,,,,2015-07-01,
Intel Xeon E3-1265L V2,45.0,,,,,,,2012-09-01,
Intel Xeon E3-1265L v2,45.0,,,,,,,,
Intel Xeon E3-1265L v3,45.0,,,,,,,2012-01-01,
Intel Xeon E3-1265L v4,35.0,,,,,,,2018-07-01,
Intel Xeon E3-1268L v3,45.0,,,,,,,2014-09-01,
Intel Xeon E3-1268L v5,35.0,,,,,,,2018-03-01,
Intel Xeon E3-1270,80.0,,,,,,,2011-06-01,
Intel Xeon E3-1270 V2,69.0,,,,,,,2012-07-01,
Intel Xeon E3-1270 v2,69.0,,,,,,,,
Intel Xeon E3-1270 v3,80.0,,,,,,,2013-06-01,
Intel Xeon E3-1270 v5,80.0,,,,,,,2015-11-01,
Intel Xeon E3-1270 v6,72.0,,,,,,,2017-05-01,
Intel Xeon E3-1270L v4,45.0,,,,,,,2019-02-01,
Intel Xeon E3-1271 v3,80.0,,,,,,,2014-08-01,
Intel Xeon E3-1275,95.0,,,,,,,2011-04-01,
Intel Xeon E3-1275 V2,77.0,,,,,,,2012-04-01,
Intel Xeon E3-1275 v2,77.0,,,,,,,,
Intel Xeon E3-1275 v3,95.0,,,,,,,2013-06-01,
Intel Xeon E3-1275 v5,80.0,,,,,,,2015-12-01,
Intel Xeon E3-1275 v6,73.0,,,,,,,2017-05-01,
Intel Xeon E3-1275L v3,45.0,,,,,,,2015-02-01,
Intel Xeon E3-1276 v3,84.0,,,,,,,2014-06-01,
Intel Xeon E3-1278L v4,47.0,,,,,,,,
Intel Xeon E3-1280,95.0,,,,,,,2011-06-01,
Intel Xeon E3-1280 V2,69.0,,,,,,,2012-05-01,
Intel Xeon E3-1280 v2,69.0,,,,,,,,
Intel Xeon E3-1280 v3,82.0,,,,,,,2013-06-01,
Intel Xeon E3-1280 v5,80.0,,,,,,,2016-05-01,
Intel Xeon E3-1280 v6,72.0,,,,,,,2017-03-01,
Intel Xeon E3-1281 v3,82.0,,,,,,,2015-04-01,
Intel Xeon E3-1283L v4,47.0,,,,,,,,
Intel Xeon E3-1284L v4,47.0,,,,,,,,
Intel Xeon E3-1285 v2,77.0,,,,,,,,
Intel Xeon E3-1285 v3,84.0,,,,,,,2016-11-01,
Intel Xeon E3-1285 v4,95.0,,,,,,,2018-06-01,
Intel Xeon E3-1285 v6,79.0,,,,,,,2018-01-01,
Intel Xeon E3-1285L v2,65.0,,,,,,,,
Intel Xeon E3-1285L v3,65.0,,,,,,,2014-11-01,
Intel Xeon E3-1285L v4,65.0,,,,,,,2016-04-01,
Intel Xeon E3-1286 v3,84.0,,,,,,,2014-10-01,
Intel Xeon E3-1286L v3,65.0,,,,,,,2018-01-01,
Intel Xeon E3-1290,95.0,,,,,,,2011-12-01,
Intel Xeon E3-1290 V2,87.0,,,,,,,2012-05-01,
Intel Xeon E3-1290 v2,87.0,,,,,,,,
Intel Xeon E3-1501L v6,25.0,,,,,,,,
Intel Xeon E3-1501M v6,45.0,,,,,,,,
Intel Xeon E3-1505L v5,25.0,,,,,,,2017-03-01,
Intel Xeon E3-1505L v6,25.0,,,,,,,2017-05-01,
Intel Xeon E3-1505M v5,45.0,,,,,,,2015-11-01,
Intel Xeon E3-1505M v6,45.0,,,,,,,2017-01-01,
Intel Xeon E3-1515M v5,45.0,,,,,,,2017-02-01,
Intel Xeon E3-1535M v5,45.0,,,,,,,2015-12-01,
Intel Xeon E3-1535M v6,45.0,,,,,,,,
Intel Xeon E3-1545M v5,45.0,,,,,,,2016-02-01,
Intel Xeon E3-1558L v5,45.0,,,,,,,,
Intel Xeon E3-1565L v5,35.0,,,,,,,,
Intel Xeon E3-1575M v5,45.0,,,,,,,2016-06-01,
Intel Xeon E3-1578L v5,45.0,,,,,,,,
Intel Xeon E3-1585 v5,65.0,,,,,,,2017-05-01,
Intel Xeon E3-1585L v5,45.0,,,,,,,2018-06-01,
Intel Xeon E3110,65.0,,,,,,,2008-11-01,
Intel Xeon E3113,65.0,,,,,,,2014-10-01,
Intel Xeon E3120,65.0,,,,,,,2010-03-01,
Intel Xeon E5-1410,80.0,,,,,,,2012-01-01,
Intel Xeon E5-1410 v2,80.0,,,,,,,2015-08-01,
Intel Xeon E5-1428L,60.0,,,,,,,,
Intel Xeon E5-1428L v2,60.0,,,,,,,2019-09-01,
Intel Xeon E5-1603,130.0,,,,,,,2012-06-01,
Intel Xeon E5-1603 v3,140.0,,,,,,,2015-01-01,
Intel Xeon E5-1603 v4,140.0,,,,,,,2017-02-01,
Intel Xeon E5-1607,130.0,,,,,,,2012-08-01,
Intel Xeon E5-1607 v2,130.0,,,,,,,2014-03-01,
Intel Xeon E5-1607 v3,140.0,,,,,,,2015-02-01,
Intel Xeon E5-1607 v4,140.0,,,,,,,2016-11-01,
Intel Xeon E5-1620,130.0,,,,,,,2012-05-01,
Intel Xeon E5-1620 v2,130.0,,,,,,,2013-07-01,
Intel Xeon E5-1620 v3,140.0,,,,,,,2014-09-01,
Intel Xeon E5-1620 v4,140.0,,,,,,,2016-05-01,
Intel Xeon E5-1630 v3,140.0,,,,,,,2014-10-01,
Intel Xeon E5-1630 v4,140.0,,,,,,,2016-07-01,
Intel Xeon E5-1650,130.0,,,,,,,2012-04-01,
Intel Xeon E5-1650 v2,130.0,,,,,,,2013-07-01,
Intel Xeon E5-1650 v3,140.0,,,,,,,2014-10-01,
Intel Xeon E5-1650 v4,140.0,,,,,,,2016-07-01,
Intel Xeon E5-1660,130.0,,,,,,,2012-07-01,
Intel Xeon E5-1660 v2,130.0,,,,,,,2013-12-01,
Intel Xeon E5-1660 v3,140.0,,,,,,,2014-10-01,
Intel Xeon E5-1660 v4,140.0,,,,,,,2016-10-01,
Intel Xeon E5-1680 v2,130.0,,,,,,,2014-09-01,
Intel Xeon E5-1680 v3,140.0,,,,,,,2015-03-01,
Intel Xeon E5-1680 v4,140.0,,,,,,,2016-10-01,
Intel Xeon E5-1681 v3,135.0,,,,,,,2016-04-01,
Intel Xeon E5-2403,80.0,,,,,,,2012-01-01,
Intel Xeon E5-2403 v2,80.0,,,,,,,2015-04-01,
Intel Xeon E5-2407,80.0,,,,,,,2012-01-01,
Intel Xeon E5-2407 v2,80.0,,,,,,,2014-09-01,
Intel Xeon E5-2418L,50.0,,,,,,,2016-03-01,
Intel Xeon E5-2418L v2,50.0,,,,,,,2022-09-01,
Intel Xeon E5-2420,95.0,,,,,,,2012-06-01,
Intel Xeon E5-2420 v2,80.0,,,,,,,2014-04-01,
Intel Xeon E5-2428L,60.0,,,,,,,2017-09-01,
Intel Xeon E5-2428L v2,60.0,,,,,,,,
Intel Xeon E5-2430,95.0,,,,,,,2012-01-01,
Intel Xeon E5-2430 v2,80.0,,,,,,,2014-07-01,
Intel Xeon E5-2430L,60.0,,,,,,,2017-12-01,
Intel Xeon E5-2430L v2,60.0,,,,,,,2015-02-01,
Intel Xeon E5-2440,95.0,,,,,,,2014-03-01,
Intel Xeon E5-2440 v2,95.0,,,,,,,2014-10-01,
Intel Xeon E5-2448L,70.0,,,,,,,,
Intel Xeon E5-2448L v2,70.0,,,,,,,2018-03-01,
Intel Xeon E5-2449L,50.0,,,,,,,,
Intel Xeon E5-2450,95.0,,,,,,,2015-04-01,
Intel Xeon E5-2450 v2,95.0,,,,,,,2017-08-01,
Intel Xeon E5-2450L,70.0,,,,,,,2015-08-01,
Intel Xeon E5-2450L v2,60.0,,,,,,,,
Intel Xeon E5-2470,95.0,,,,,,,2013-08-01,
Intel Xeon E5-2470 v2,95.0,,,,,,,2016-02-01,
Intel Xeon E5-2603,80.0,,,,,,,2012-01-01,
Intel Xeon E5-2603 v2,80.0,,,,,,,2014-11-01,
Intel Xeon E5-2603 v3,85.0,,,,,,,2015-01-01,
Intel Xeon E5-2603 v4,85.0,,,,,,,2016-07-01,
Intel Xeon E5-2608L v3,52.0,,,,,,,2018-01-01,
Intel Xeon E5-2608L v4,50.0,,,,,,,2022-09-01,
Intel Xeon E5-2609,80.0,,,,,,,2012-04-01,
Intel Xeon E5-2609 v2,80.0,,,,,,,2014-04-01,
Intel Xeon E5-2609 v3,80.0,,,,,,,2014-11-01,
Intel Xeon E5-2609 v4,85.0,,,,,,,2016-08-01,
Intel Xeon E5-2618L,40.0,,,,,,,,
Intel Xeon E5-2618L v2,50.0,,,,,,,,
Intel Xeon E5-2618L v3,75.0,,,,,,,2017-02-01,
Intel Xeon E5-2618L v4,75.0,,,,,,,2017-10-01,
Intel Xeon E5-2620,95.0,,,,,,,2012-04-01,
Intel Xeon E5-2620 v2,80.0,,,,,,,2013-07-01,
Intel Xeon E5-2620 v3,85.0,,,,,,,2014-11-01,
Intel Xeon E5-2620 v4,85.0,,,,,,,2016-05-01,
Intel Xeon E5-2623 v3,105.0,,,,,,,2015-02-01,
Intel Xeon E5-2623 v4,85.0,,,,,,,2016-06-01,
Intel Xeon E5-2628 v3,85.0,,,,,,,2021-09-01,
Intel Xeon E5-2628L,60.0,,,,,,,,
Intel Xeon E5-2628L v2,70.0,,,,,,,2015-08-01,
Intel Xeon E5-2628L v3,75.0,,,,,,,2015-07-01,
Intel Xeon E5-2628L v4,75.0,,,,,,,2017-02-01,
Intel Xeon E5-2629 v3,85.0,,,,,,,2016-10-01,
Intel Xeon E5-2630,95.0,,,,,,,2012-04-01,
Intel Xeon E5-2630 v2,80.0,,,,,,,2013-07-01,
Intel Xeon E5-2630 v3,85.0,,,,,,,2014-10-01,
Intel Xeon E5-2630 v4,85.0,,,,,,,2016-04-01,
Intel Xeon E5-2630L,60.0,,,,,,,2014-05-01,
Intel Xeon E5-2630L v2,60.0,,,,,,,2014-11-01,
Intel Xeon E5-2630L v3,55.0,,,,,,,2016-06-01,
Intel Xeon E5-2630L v4,55.0,,,,,,,2017-01-01,
Intel Xeon E5-2637,80.0,,,,,,,2018-04-01,
Intel Xeon E5-2637 v2,130.0,,,,,,,2014-03-01,
Intel Xeon E5-2637 v3,135.0,,,,,,,2014-10-01,
Intel Xeon E5-2637 v4,135.0,,,,,,,2016-05-01,
Intel Xeon E5-2640,95.0,,,,,,,2012-04-01,
Intel Xeon E5-2640 v2,95.0,,,,,,,2014-02-01,
Intel Xeon E5-2640 v3,90.0,,,,,,,2014-09-01,
Intel Xeon E5-2640 v4,90.0,,,,,,,2016-04-01,
Intel Xeon E5-2643,130.0,,,,,,,2012-06-01,
Intel Xeon E5-2643 v2,130.0,,,,,,,2013-07-01,
Intel Xeon E5-2643 v3,135.0,,,,,,,2015-01-01,
Intel Xeon E5-2643 v4,135.0,,,,,,,2016-06-01,
Intel Xeon E5-2648L,70.0,,,,,,,2015-09-01,
Intel Xeon E5-2648L v2,70.0,,,,,,,2017-12-01,
Intel Xeon E5-2648L v3,75.0,,,,,,,2016-04-01,
Intel Xeon E5-2648L v4,75.0,,,,,,,2017-07-01,
Intel Xeon E5-2649 v3,105.0,,,,,,,2018-02-01,
Intel Xeon E5-2650,95.0,,,,,,,2012-03-01,
Intel Xeon E5-2650 v2,95.0,,,,,,,2013-07-01,
Intel Xeon E5-2650 v3,105.0,,,,,,,2014-09-01,
Intel Xeon E5-2650 v4,105.0,,,,,,,2016-06-01,
Intel Xeon E5-2650L,70.0,,,,,,,2012-01-01,
Intel Xeon E5-2650L v2,70.0,,,,,,,2017-03-01,
Intel Xeon E5-2650L v3,65.0,,,,,,,2015-08-01,
Intel Xeon E5-2650L v4,65.0,,,,,,,2017-07-01,
Intel Xeon E5-2651 v2,105.0,,,,,,,,
Intel Xeon E5-2658,95.0,,,,,,,2012-06-01,
Intel Xeon E5-2658 v2,95.0,,,,,,,2013-12-01,
Intel Xeon E5-2658 v3,105.0,,,,,,,2015-10-01,
Intel Xeon E5-2658 v4,105.0,,,,,,,2016-12-01,
Intel Xeon E5-2658A v3,105.0,,,,,,,2019-07-01,
Intel Xeon E5-2660,95.0,,,,,,,2012-04-01,
Intel Xeon E5-2660 v2,95.0,,,,,,,2014-03-01,
Intel Xeon E5-2660 v3,105.0,,,,,,,2014-09-01,
Intel Xeon E5-2660 v4,105.0,,,,,,,2016-11-01,
Intel Xeon E5-2663 v3,120.0,,,,,,,2015-12-01,
Intel Xeon E5-2665,115.0,,,,,,,2012-06-01,
Intel Xeon E5-2666 v3,135.0,,,,,,,2015-01-01,
Intel Xeon E5-2666 v4,145.0,,,,,,,,
Intel Xeon E5-2667,130.0,,,,,,,2012-08-01,
Intel Xeon E5-2667 v2,130.0,,,,,,,2014-02-01,
Intel Xeon E5-2667 v3,135.0,,,,,,,2014-12-01,
Intel Xeon E5-2667 v4,135.0,,,,,,,2016-07-01,
Intel Xeon E5-2669 v3,120.0,,,,,,,2016-02-01,
Intel Xeon E5-2670,115.0,,,,,,,2012-03-01,
Intel Xeon E5-2670 v2,115.0,,,,,,,2014-02-01,
Intel Xeon E5-2670 v3,120.0,,,,,,,2014-08-01,
Intel Xeon E5-2673 v2,110.0,,,,,,,2016-04-01,
Intel Xeon E5-2673 v3,110.0,,,,,,,2015-09-01,
Intel Xeon E5-2673 v4,135.0,,,,,,,2016-11-01,
Intel Xeon E5-2676 v3,120.0,,,,,,,2015-11-01,
Intel Xeon E5-2676 v4,145.0,,,,,,,2020-07-01,
Intel Xeon E5-2678 v3,120.0,,,,,,,2015-08-01,
Intel Xeon E5-2679 v4,200.0,,,,,,,2016-06-01,
Intel Xeon E5-2680,130.0,,,,,,,2012-05-01,
Intel Xeon E5-2680 v2,115.0,,,,,,,2013-07-01,
Intel Xeon E5-2680 v3,120.0,,,,,,,2014-10-01,
Intel Xeon E5-2680 v4,120.0,,,,,,,2016-05-01,
Intel Xeon E5-2680R v4,120.0,,,,,,,2020-12-01,
Intel Xeon E5-2682 v4,120.0,,,,,,,2017-09-01,
Intel Xeon E5-2683 v3,120.0,,,,,,,2015-02-01,
Intel Xeon E5-2683 v4,120.0,,,,,,,2016-12-01,
Intel Xeon E5-2685 v3,120.0,,,,,,,2015-06-01,
Intel Xeon E5-2686 v3,120.0,,,,,,,2015-08-01,
Intel Xeon E5-2686 v4,145.0,,,,,,,2016-10-01,
Intel Xeon E5-2687W,150.0,,,,,,,2012-02-01,
Intel Xeon E5-2687W v2,150.0,,,,,,,2013-07-01,
Intel Xeon E5-2687W v3,160.0,,,,,,,2014-10-01,
Intel Xeon E5-2687W v4,160.0,,,,,,,2016-05-01,
Intel Xeon E5-2689,115.0,,,,,,,2013-03-01,
Intel Xeon E5-2689 v4,165.0,,,,,,,2016-08-01,
Intel Xeon E5-2689A v4,145.0,,,,,,,,
Intel Xeon E5-2690,135.0,,,,,,,2012-03-01,
Intel Xeon E5-2690 v2,130.0,,,,,,,2013-07-01,
Intel Xeon E5-2690 v3,135.0,,,,,,,2014-09-01,
Intel Xeon E5-2690 v4,135.0,,,,,,,2016-05-01,
Intel Xeon E5-2692 v2,115.0,,,,,,,2016-04-01,
Intel Xeon E5-2695 v2,115.0,,,,,,,2013-12-01,
Intel Xeon E5-2695 v3,120.0,,,,,,,2014-09-01,
Intel Xeon E5-2695 v4,120.0,,,,,,,2016-08-01,
Intel Xeon E5-2696 v2,120.0,,,,,,,,
Intel Xeon E5-2696 v3,145.0,,,,,,,2015-05-01,
Intel Xeon E5-2696 v4,150.0,,,,,,,,
Intel Xeon E5-2697 v2,130.0,,,,,,,2013-06-01,
Intel Xeon E5-2697 v3,145.0,,,,,,,2014-08-01,
Intel Xeon E5-2697 v4,145.0,,,,,,,2016-05-01,
Intel Xeon E5-2697A v4,145.0,,,,,,,2016-06-01,
Intel Xeon E5-2697R v4,145.0,,,,,,,2021-01-01,
Intel Xeon E5-2698 v3,135.0,,,,,,,2014-09-01,
Intel Xeon E5-2698 v4,135.0,,,,,,,2016-06-01,
Intel Xeon E5-2699 v3,145.0,,,,,,,2014-09-01,
Intel Xeon E5-2699 v4,145.0,,,,,,,2016-04-01,
Intel Xeon E5-2699A v4,145.0,,,,,,,2019-02-01,
Intel Xeon E5-2699C v4,145.0,,,,,,,2017-08-01,
Intel Xeon E5-2699P v4,300.0,,,,,,,,
Intel Xeon E5-2699R v4,145.0,,,,,,,,
Intel Xeon E5-4603,95.0,,,,,,,2014-03-01,
Intel Xeon E5-4603 v2,95.0,,,,,,,,
Intel Xeon E5-4607,95.0,,,,,,,,
Intel Xeon E5-4607 v2,95.0,,,,,,,2016-07-01,
Intel Xeon E5-4610,95.0,,,,,,,2018-11-01,
Intel Xeon E5-4610 v2,95.0,,,,,,,,
Intel Xeon E5-4610 v3,105.0,,,,,,,2019-08-01,
Intel Xeon E5-4610 v4,105.0,,,,,,,2021-09-01,
Intel Xeon E5-4617,130.0,,,,,,,2014-02-01,
Intel Xeon E5-4620,95.0,,,,,,,2015-10-01,
Intel Xeon E5-4620 v2,95.0,,,,,,,2015-10-01,
Intel Xeon E5-4620 v3,105.0,,,,,,,2019-12-01,
Intel Xeon E5-4620 v4,105.0,,,,,,,,
Intel Xeon E5-4624L v2,70.0,,,,,,,,
Intel Xeon E5-4627 v2,130.0,,,,,,,2015-04-01,
Intel Xeon E5-4627 v3,135.0,,,,,,,2016-12-01,
Intel Xeon E5-4627 v4,135.0,,,,,,,2017-04-01,
Intel Xeon E5-4628L v4,75.0,,,,,,,,
Intel Xeon E5-4640,95.0,,,,,,,2012-08-01,
Intel Xeon E5-4640 v2,95.0,,,,,,,2015-08-01,
Intel Xeon E5-4640 v3,105.0,,,,,,,2017-06-01,
Intel Xeon E5-4640 v4,105.0,,,,,,,2017-05-01,
Intel Xeon E5-4648 v3,105.0,,,,,,,2017-06-01,
Intel Xeon E5-4650,130.0,,,,,,,2012-07-01,
Intel Xeon E5-4650 v2,95.0,,,,,,,2019-01-01,
Intel Xeon E5-4650 v3,105.0,,,,,,,2018-03-01,
Intel Xeon E5-4650 v4,105.0,,,,,,,2019-10-01,
Intel Xeon E5-4650L,115.0,,,,,,,2017-07-01,
Intel Xeon E5-4655 v3,135.0,,,,,,,2018-04-01,
Intel Xeon E5-4655 v4,135.0,,,,,,,,
Intel Xeon E5-4657L v2,115.0,,,,,,,2015-01-01,
Intel Xeon E5-4660 v3,120.0,,,,,,,2017-05-01,
Intel Xeon E5-4660 v4,120.0,,,,,,,2019-01-01,
Intel Xeon E5-4667 v3,135.0,,,,,,,2018-01-01,
Intel Xeon E5-4667 v4,135.0,,,,,,,2021-01-01,
Intel Xeon E5-4669 v3,135.0,,,,,,,2015-12-01,
Intel Xeon E5-4669 v4,135.0,,,,,,,2017-04-01,
Intel Xeon E5205,65.0,,,,,,,2012-01-01,
Intel Xeon E5220,65.0,,,,,,,,
Intel Xeon E5240,65.0,,,,,,,2009-11-01,
Intel Xeon E5310,80.0,,,,,,,2009-03-01,
Intel Xeon E5320,80.0,,,,,,,2009-03-01,
Intel Xeon E5330,80.0,,,,,,,,
Intel Xeon E5335,80.0,,,,,,,2009-04-01,
Intel Xeon E5340,80.0,,,,,,,,
Intel Xeon E5345,80.0,,,,,,,2008-11-01,
Intel Xeon E5350,120.0,,,,,,,,
Intel Xeon E5405,80.0,,,,,,,2009-02-01,
Intel Xeon E5410,80.0,,,,,,,2009-03-01,
Intel Xeon E5420,80.0,,,,,,,2009-02-01,
Intel Xeon E5430,80.0,,,,,,,2009-02-01,
Intel Xeon E5440,80.0,,,,,,,2009-02-01,
Intel Xeon E5450,80.0,,,,,,,2009-04-01,
Intel Xeon E5462,80.0,,,,,,,2009-02-01,
Intel Xeon E5472,80.0,,,,,,,2009-03-01,
Intel Xeon E5502,80.0,,,,,,,2009-06-01,
Intel Xeon E5503,80.0,,,,,,,2010-06-01,
Intel Xeon E5504,80.0,,,,,,,2009-04-01,
Intel Xeon E5506,80.0,,,,,,,2009-04-01,
Intel Xeon E5507,80.0,,,,,,,2010-06-01,
Intel Xeon E5520,80.0,,,,,,,2009-03-01,
Intel Xeon E5530,80.0,,,,,,,2009-04-01,
Intel Xeon E5540,80.0,,,,,,,2009-07-01,
Intel Xeon E5603,80.0,,,,,,,2011-06-01,
Intel Xeon E5606,80.0,,,,,,,2011-05-01,
Intel Xeon E5607,80.0,,,,,,,2011-04-01,
Intel Xeon E5620,80.0,,,,,,,2010-06-01,
Intel Xeon E5630,80.0,,,,,,,2010-05-01,
Intel Xeon E5640,80.0,,,,,,,2010-05-01,
Intel Xeon E5645,80.0,,,,,,,2011-04-01,
Intel Xeon E5649,80.0,,,,,,,2011-08-01,
Intel Xeon E6510,105.0,,,,,,,,
Intel Xeon E6540,105.0,,,,,,,,
Intel Xeon E7- 2830,105.0,,,,,,,2018-01-01,
Intel Xeon E7- 4807,95.0,,,,,,,2020-07-01,
Intel Xeon E7- 4850,130.0,,,,,,,2013-04-01,
Intel Xeon E7- 4860,130.0,,,,,,,2017-12-01,
Intel Xeon E7- 4870,130.0,,,,,,,2013-09-01,
Intel Xeon E7- 8870,130.0,,,,,,,2015-08-01,
Intel Xeon E7-2803,105.0,,,,,,,,
Intel Xeon E7-2820,105.0,,,,,,,,
Intel Xeon E7-2830,105.0,,,,,,,,
Intel Xeon E7-2850,130.0,,,,,,,,
Intel Xeon E7-2850 v2,105.0,,,,,,,,
Intel Xeon E7-2860,130.0,,,,,,,,
Intel Xeon E7-2870,130.0,,,,,,,,
Intel Xeon E7-2870 v2,130.0,,,,,,,,
Intel Xeon E7-2880 v2,130.0,,,,,,,,
Intel Xeon E7-2890 v2,155.0,,,,,,,,
Intel Xeon E7-4807,95.0,,,,,,,,
Intel Xeon E7-4809 v2,105.0,,,,,,,,
Intel Xeon E7-4809 v4,115.0,,,,,,,,
Intel Xeon E7-4820,105.0,,,,,,,,
Intel Xeon E7-4820 v2,105.0,,,,,,,,
Intel Xeon E7-4820 v4,115.0,,,,,,,,
Intel Xeon E7-4830,105.0,,,,,,,2015-12-01,
Intel Xeon E7-4830 v2,105.0,,,,,,,,
Intel Xeon E7-4830 v4,115.0,,,,,,,,
Intel Xeon E7-4850,130.0,,,,,,,,
Intel Xeon E7-4850 v2,105.0,,,,,,,,
Intel Xeon E7-4850 v4,115.0,,,,,,,,
Intel Xeon E7-4860,130.0,,,,,,,,
Intel Xeon E7-4860 v2,130.0,,,,,,,,
Intel Xeon E7-4870,130.0,,,,,,,,
Intel Xeon E7-4870 v2,130.0,,,,,,,,
Intel Xeon E7-4880 v2,130.0,,,,,,,2020-01-01,
Intel Xeon E7-4890 v2,155.0,,,,,,,2015-12-01,
Intel Xeon E7-8830,105.0,,,,,,,,
Intel Xeon E7-8837,130.0,,,,,,,,
Intel Xeon E7-8850,130.0,,,,,,,,
Intel Xeon E7-8850 v2,105.0,,,,,,,,
Intel Xeon E7-8855 v4,140.0,,,,,,,,
Intel Xeon E7-8857 v2,130.0,,,,,,,2021-05-01,
Intel Xeon E7-8860,130.0,,,,,,,,
Intel Xeon E7-8860 v4,140.0,,,,,,,,
Intel Xeon E7-8867 v3,165.0,,,,,,,2020-08-01,
Intel Xeon E7-8867 v4,165.0,,,,,,,,
Intel Xeon E7-8867L,105.0,,,,,,,,
