Model,TDP,TDP (Base),Cores (P),Cores (E),Cores (LP-E),Cores,Codename,Released,Clock rate
AMD Athlon 64 X2 Dual Core 3600+,65.0,,,,,,,2008-12-01,
AMD Athlon 64 X2 Dual Core 3800+,89.0,,,,,,,2008-11-01,
AMD Athlon 64 X2 Dual Core 4000+,65.0,,,,,,,2008-12-01,
AMD Athlon 64 X2 Dual Core 4200+,89.0,,,,,,,2008-11-01,
AMD Athlon 64 X2 Dual Core 4400+,65.0,,,,,,,2008-12-01,
AMD Athlon 64 X2 Dual Core 4600+,65.0,,,,,,,2008-12-01,
AMD Athlon 64 X2 Dual Core 4800+,65.0,,,,,,,2008-11-01,
AMD Athlon 64 X2 Dual Core 5000+,65.0,,,,,,,2008-12-01,
AMD Athlon 64 X2 Dual Core 5200+,65.0,,,,,,,2008-11-01,
AMD Athlon 64 X2 Dual Core 5400+,65.0,,,,,,,2008-11-01,
AMD Athlon 64 X2 Dual Core 5600+,89.0,,,,,,,2008-11-01,
AMD Athlon 64 X2 Dual Core 5800+,89.0,,,,,,,2009-01-01,
AMD Athlon 64 X2 Dual Core 6000+,89.0,,,,,,,2008-11-01,
AMD Athlon 64 X2 Dual Core 6400+,125.0,,,,,,,2008-11-01,
AMD Athlon 64 X2 Dual Core BE-2300,45.0,,,,,,,2011-11-01,
AMD Athlon 64 X2 Dual Core BE-2350,45.0,,,,,,,2009-05-01,
AMD Athlon 64 X2 Dual-Core TK-42,20.0,,,,,,,2009-07-01,
AMD Athlon 64 X2 Dual-Core TK-53,31.0,,,,,,,2009-02-01,
AMD Athlon 64 X2 Dual-Core TK-55,35.0,,,,,,,2008-12-01,
AMD Athlon 64 X2 Dual-Core TK-57,31.0,,,,,,,2009-02-01,
AMD Athlon 64 X2 QL-60,35.0,,,,,,,2009-03-01,
AMD Athlon 64 X2 QL-62,35.0,,,,,,,2009-01-01,
AMD Athlon 64 X2 QL-64,35.0,,,,,,,2009-03-01,
